,Year,Season,Sport
0,1896,Summer,9
1,1900,Summer,20
2,1904,Summer,18
3,1906,Summer,13
4,1908,Summer,24
5,1912,Summer,17
6,1920,Summer,25
7,1924,Summer,20
8,1924,Winter,10
9,1928,Summer,17
10,1928,Winter,8
11,1932,Summer,18
12,1932,Winter,7
13,1936,Summer,24
14,1936,Winter,8
15,1948,Summer,20
16,1948,Winter,9
17,1952,Summer,19
18,1952,Winter,8
19,1956,Summer,19
20,1956,Winter,8
21,1960,Summer,19
22,1960,Winter,8
23,1964,Summer,21
24,1964,Winter,10
25,1968,Summer,20
26,1968,Winter,10
27,1972,Summer,23
28,1972,Winter,10
29,1976,Summer,23
30,1976,Winter,10
31,1980,Summer,23
32,1980,Winter,10
33,1984,Summer,25
34,1984,Winter,10
35,1988,Summer,27
36,1988,Winter,10
37,1992,Summer,29
38,1992,Winter,12
39,1994,Winter,12
40,1996,Summer,31
41,1998,Winter,14
42,2000,Summer,34
43,2002,Winter,15
44,2004,Summer,34
45,2006,Winter,15
46,2008,Summer,34
47,2010,Winter,15
48,2012,Summer,32
49,2014,Winter,15
50,2016,Summer,34
